,Run,Deletion,Rho0,Rho1,Rho2,Rho3
8039,1339,5,1,1,1,1
8040,1340,0,0,3,3,6
8041,1340,1,0,3,3,5
8042,1340,2,0,1,3,4
8043,1340,3,1,2,2,3
8044,1340,4,1,1,1,2
8045,1340,5,1,1,1,1
8046,1341,0,0,3,3,6
8047,1341,1,0,3,3,5
8048,1341,2,1,3,3,4
8049,1341,3,1,2,3,3
8050,1341,4,1,2,2,2
8051,1341,5,1,1,1,1
8052,1342,0,0,3,3,6
8053,1342,1,0,3,3,5
8054,1342,2,0,1,3,4
8055,1342,3,1,2,2,3
8056,1342,4,1,1,1,2
8057,1342,5,1,1,1,1
8058,1343,0,0,3,3,6
8059,1343,1,0,3,3,5
8060,1343,2,0,1,3,4
8061,1343,3,0,0,3,3
8062,1343,4,1,1,2,2
8063,1343,5,1,1,1,1
8064,1344,0,0,3,3,6
8065,1344,1,0,3,3,5
8066,1344,2,1,3,3,4
8067,1344,3,1,2,2,3
8068,1344,4,1,1,2,2
8069,1344,5,1,1,1,1
8070,1345,0,0,3,3,6
8071,1345,1,0,3,3,5
8072,1345,2,0,1,3,4
8073,1345,3,0,0,3,3
8074,1345,4,1,1,2,2
8075,1345,5,1,1,1,1
8076,1346,0,0,3,3,6
8077,1346,1,0,3,3,5
8078,1346,2,1,3,3,4
8079,1346,3,1,2,3,3
8080,1346,4,1,2,2,2
8081,1346,5,1,1,1,1
8082,1347,0,0,3,3,6
8083,1347,1,0,3,3,5
8084,1347,2,1,3,3,4
8085,1347,3,1,2,2,3
8086,1347,4,1,2,2,2
8087,1347,5,1,1,1,1
8088,1348,0,0,3,3,6
8089,1348,1,0,3,3,5
8090,1348,2,0,1,3,4
8091,1348,3,0,2,2,3
8092,1348,4,1,1,1,2
8093,1348,5,1,1,1,1
8094,1349,0,0,3,3,6
8095,1349,1,0,3,3,5
8096,1349,2,1,3,3,4
8097,1349,3,1,2,2,3
8098,1349,4,1,1,2,2
8099,1349,5,1,1,1,1
8100,1350,0,0,3,3,6
8101,1350,1,0,3,3,5
8102,1350,2,0,3,3,4
8103,1350,3,1,2,3,3
8104,1350,4,1,2,2,2
8105,1350,5,1,1,1,1
8106,1351,0,0,3,3,6
8107,1351,1,0,3,3,5
8108,1351,2,0,1,3,4
8109,1351,3,1,2,3,3
8110,1351,4,1,2,2,2
8111,1351,5,1,1,1,1
8112,1352,0,0,3,3,6
8113,1352,1,0,3,3,5
8114,1352,2,0,4,2,4
8115,1352,3,1,2,2,3
8116,1352,4,1,1,2,2
8117,1352,5,1,1,1,1
8118,1353,0,0,3,3,6
8119,1353,1,0,3,3,5
8120,1353,2,1,3,3,4
8121,1353,3,1,2,3,3
8122,1353,4,1,1,2,2
8123,1353,5,1,1,1,1
8124,1354,0,0,3,3,6
8125,1354,1,0,3,3,5
8126,1354,2,0,4,2,4
8127,1354,3,0,2,2,3
8128,1354,4,1,1,2,2
8129,1354,5,1,1,1,1
8130,1355,0,0,3,3,6
8131,1355,1,0,3,3,5
8132,1355,2,0,1,3,4
8133,1355,3,1,2,3,3
8134,1355,4,1,2,2,2
8135,1355,5,1,1,1,1
8136,1356,0,0,3,3,6
8137,1356,1,0,3,3,5
8138,1356,2,0,4,2,4
8139,1356,3,1,2,2,3
8140,1356,4,1,2,2,2
8141,1356,5,1,1,1,1
8142,1357,0,0,3,3,6
8143,1357,1,0,3,3,5
8144,1357,2,0,1,3,4
8145,1357,3,1,2,3,3
8146,1357,4,1,2,2,2
8147,1357,5,1,1,1,1
8148,1358,0,0,3,3,6
8149,1358,1,0,3,3,5
8150,1358,2,0,3,3,4
8151,1358,3,1,2,3,3
8152,1358,4,1,2,2,2
8153,1358,5,1,1,1,1
8154,1359,0,0,3,3,6
8155,1359,1,0,3,3,5
8156,1359,2,0,1,3,4
8157,1359,3,0,2,2,3
8158,1359,4,1,1,2,2
8159,1359,5,1,1,1,1
8160,1360,0,0,3,3,6
8161,1360,1,0,3,3,5
8162,1360,2,0,1,3,4
8163,1360,3,0,0,3,3
8164,1360,4,1,1,2,2
8165,1360,5,1,1,1,1
8166,1361,0,0,3,3,6
8167,1361,1,0,3,3,5
8168,1361,2,1,3,3,4
8169,1361,3,1,2,2,3
8170,1361,4,1,1,2,2
8171,1361,5,1,1,1,1
8172,1362,0,0,3,3,6
8173,1362,1,0,3,3,5
8174,1362,2,0,3,3,4
8175,1362,3,0,2,2,3
8176,1362,4,1,1,2,2
8177,1362,5,1,1,1,1
8178,1363,0,0,3,3,6
8179,1363,1,0,3,3,5
8180,1363,2,1,3,3,4
8181,1363,3,1,2,3,3
8182,1363,4,1,2,2,2
8183,1363,5,1,1,1,1
8184,1364,0,0,3,3,6
8185,1364,1,0,3,3,5
8186,1364,2,0,1,3,4
8187,1364,3,1,2,3,3
8188,1364,4,1,2,2,2
8189,1364,5,1,1,1,1
8190,1365,0,0,3,3,6
8191,1365,1,0,3,3,5
8192,1365,2,0,1,3,4
8193,1365,3,1,2,2,3
8194,1365,4,1,1,2,2
8195,1365,5,1,1,1,1
8196,1366,0,0,3,3,6
8197,1366,1,0,3,3,5
8198,1366,2,0,1,3,4
8199,1366,3,1,2,2,3
8200,1366,4,1,2,2,2
8201,1366,5,1,1,1,1
8202,1367,0,0,3,3,6
8203,1367,1,0,3,3,5
8204,1367,2,1,3,3,4
8205,1367,3,1,2,3,3
8206,1367,4,1,2,2,2
8207,1367,5,1,1,1,1
8208,1368,0,0,3,3,6
8209,1368,1,0,3,3,5
8210,1368,2,0,1,3,4
8211,1368,3,1,2,3,3
8212,1368,4,1,2,2,2
8213,1368,5,1,1,1,1
8214,1369,0,0,3,3,6
8215,1369,1,0,3,3,5
8216,1369,2,0,4,2,4
8217,1369,3,0,2,2,3
8218,1369,4,1,1,1,2
8219,1369,5,1,1,1,1
8220,1370,0,0,3,3,6
8221,1370,1,0,3,3,5
8222,1370,2,1,3,3,4
8223,1370,3,1,2,3,3
8224,1370,4,1,2,2,2
8225,1370,5,1,1,1,1
8226,1371,0,0,3,3,6
8227,1371,1,0,3,3,5
8228,1371,2,0,4,2,4
8229,1371,3,0,2,2,3
8230,1371,4,1,2,2,2
8231,1371,5,1,1,1,1
8232,1372,0,0,3,3,6
8233,1372,1,0,3,3,5
8234,1372,2,0,4,2,4
8235,1372,3,0,2,2,3
8236,1372,4,1,1,2,2
8237,1372,5,1,1,1,1
8238,1373,0,0,3,3,6
8239,1373,1,0,3,3,5
8240,1373,2,1,3,3,4
8241,1373,3,1,2,2,3
8242,1373,4,1,1,2,2
8243,1373,5,1,1,1,1
8244,1374,0,0,3,3,6
8245,1374,1,0,3,3,5
8246,1374,2,0,1,3,4
8247,1374,3,1,2,2,3
8248,1374,4,1,1,2,2
8249,1374,5,1,1,1,1
8250,1375,0,0,3,3,6
8251,1375,1,0,3,3,5
8252,1375,2,0,1,3,4
8253,1375,3,0,2,2,3
8254,1375,4,1,1,2,2
8255,1375,5,1,1,1,1
8256,1376,0,0,3,3,6
8257,1376,1,0,3,3,5
8258,1376,2,0,1,3,4
8259,1376,3,0,0,3,3
8260,1376,4,1,1,2,2
8261,1376,5,1,1,1,1
8262,1377,0,0,3,3,6
8263,1377,1,0,3,3,5
8264,1377,2,1,3,3,4
8265,1377,3,1,2,2,3
8266,1377,4,1,1,1,2
8267,1377,5,1,1,1,1
8268,1378,0,0,3,3,6
8269,1378,1,0,3,3,5
8270,1378,2,1,3,3,4
8271,1378,3,1,2,2,3
8272,1378,4,1,1,2,2
8273,1378,5,1,1,1,1
8274,1379,0,0,3,3,6
8275,1379,1,0,3,3,5
8276,1379,2,0,1,3,4
8277,1379,3,0,2,2,3
8278,1379,4,1,2,2,2
8279,1379,5,1,1,1,1
8280,1380,0,0,3,3,6
8281,1380,1,0,3,3,5
8282,1380,2,0,4,2,4
8283,1380,3,0,2,2,3
8284,1380,4,1,1,2,2
8285,1380,5,1,1,1,1
8286,1381,0,0,3,3,6
8287,1381,1,0,3,3,5
8288,1381,2,0,1,3,4
8289,1381,3,0,0,3,3
8290,1381,4,1,1,2,2
8291,1381,5,1,1,1,1
8292,1382,0,0,3,3,6
8293,1382,1,0,3,3,5
8294,1382,2,0,4,2,4
8295,1382,3,1,2,2,3
8296,1382,4,1,1,2,2
8297,1382,5,1,1,1,1
8298,1383,0,0,3,3,6
8299,1383,1,0,3,3,5
8300,1383,2,0,1,3,4
8301,1383,3,0,0,3,3
8302,1383,4,1,1,2,2
8303,1383,5,1,1,1,1
8304,1384,0,0,3,3,6
8305,1384,1,0,3,3,5
8306,1384,2,0,1,3,4
8307,1384,3,1,2,3,3
8308,1384,4,1,2,2,2
8309,1384,5,1,1,1,1
8310,1385,0,0,3,3,6
8311,1385,1,0,3,3,5
8312,1385,2,0,1,3,4
8313,1385,3,1,2,3,3
8314,1385,4,1,1,2,2
8315,1385,5,1,1,1,1
8316,1386,0,0,3,3,6
8317,1386,1,0,3,3,5
8318,1386,2,0,4,2,4
8319,1386,3,1,2,2,3
8320,1386,4,1,2,2,2
8321,1386,5,1,1,1,1
8322,1387,0,0,3,3,6
8323,1387,1,0,3,3,5
8324,1387,2,1,3,3,4
8325,1387,3,1,2,3,3
8326,1387,4,1,2,2,2
8327,1387,5,1,1,1,1
8328,1388,0,0,3,3,6
8329,1388,1,0,3,3,5
8330,1388,2,0,1,3,4
8331,1388,3,0,0,3,3
8332,1388,4,1,1,2,2
8333,1388,5,1,1,1,1
8334,1389,0,0,3,3,6
8335,1389,1,0,3,3,5
8336,1389,2,0,1,3,4
8337,1389,3,0,2,2,3
8338,1389,4,1,1,2,2
8339,1389,5,1,1,1,1
8340,1390,0,0,3,3,6
8341,1390,1,0,3,3,5
8342,1390,2,0,1,3,4
8343,1390,3,1,2,3,3
8344,1390,4,1,1,2,2
8345,1390,5,1,1,1,1
8346,1391,0,0,3,3,6
8347,1391,1,0,3,3,5
8348,1391,2,0,3,3,4
8349,1391,3,1,2,3,3
8350,1391,4,1,1,2,2
8351,1391,5,1,1,1,1
8352,1392,0,0,3,3,6
8353,1392,1,0,3,3,5
8354,1392,2,1,3,3,4
8355,1392,3,1,2,2,3
8356,1392,4,1,2,2,2
8357,1392,5,1,1,1,1
8358,1393,0,0,3,3,6
8359,1393,1,0,3,3,5
8360,1393,2,0,1,3,4
8361,1393,3,1,2,3,3
8362,1393,4,1,2,2,2
8363,1393,5,1,1,1,1
8364,1394,0,0,3,3,6
8365,1394,1,0,3,3,5
8366,1394,2,0,1,3,4
8367,1394,3,0,0,3,3
8368,1394,4,1,1,2,2
8369,1394,5,1,1,1,1
8370,1395,0,0,3,3,6
8371,1395,1,0,3,3,5
8372,1395,2,0,4,2,4
8373,1395,3,0,2,2,3
8374,1395,4,1,1,2,2
8375,1395,5,1,1,1,1
8376,1396,0,0,3,3,6
8377,1396,1,0,3,3,5
8378,1396,2,0,4,2,4
8379,1396,3,0,2,2,3
8380,1396,4,1,2,2,2
8381,1396,5,1,1,1,1
8382,1397,0,0,3,3,6
8383,1397,1,0,3,3,5
8384,1397,2,1,3,3,4
8385,1397,3,1,2,2,3
8386,1397,4,1,2,2,2
8387,1397,5,1,1,1,1
8388,1398,0,0,3,3,6
8389,1398,1,0,3,3,5
8390,1398,2,0,1,3,4
8391,1398,3,0,0,3,3
8392,1398,4,1,1,2,2
8393,1398,5,1,1,1,1
8394,1399,0,0,3,3,6
8395,1399,1,0,3,3,5
8396,1399,2,0,1,3,4
8397,1399,3,1,2,2,3
8398,1399,4,1,1,1,2
8399,1399,5,1,1,1,1
8400,1400,0,0,3,3,6
8401,1400,1,0,3,3,5
8402,1400,2,0,1,3,4
8403,1400,3,1,2,3,3
8404,1400,4,1,2,2,2
8405,1400,5,1,1,1,1
8406,1401,0,0,3,3,6
8407,1401,1,0,3,3,5
8408,1401,2,0,1,3,4
8409,1401,3,1,2,3,3
8410,1401,4,1,2,2,2
8411,1401,5,1,1,1,1
8412,1402,0,0,3,3,6
8413,1402,1,0,3,3,5
8414,1402,2,0,3,3,4
8415,1402,3,1,2,3,3
8416,1402,4,1,2,2,2
8417,1402,5,1,1,1,1
8418,1403,0,0,3,3,6
8419,1403,1,0,3,3,5
8420,1403,2,0,1,3,4
8421,1403,3,1,2,3,3
8422,1403,4,1,1,2,2
8423,1403,5,1,1,1,1
8424,1404,0,0,3,3,6
8425,1404,1,0,3,3,5
8426,1404,2,1,3,3,4
8427,1404,3,1,2,3,3
8428,1404,4,1,2,2,2
8429,1404,5,1,1,1,1
8430,1405,0,0,3,3,6
8431,1405,1,0,3,3,5
8432,1405,2,1,3,3,4
8433,1405,3,1,2,3,3
8434,1405,4,1,2,2,2
8435,1405,5,1,1,1,1
8436,1406,0,0,3,3,6
8437,1406,1,0,3,3,5
8438,1406,2,0,1,3,4
8439,1406,3,0,2,2,3
8440,1406,4,1,1,1,2
8441,1406,5,1,1,1,1
8442,1407,0,0,3,3,6
8443,1407,1,0,3,3,5
8444,1407,2,1,3,3,4
8445,1407,3,1,2,3,3
8446,1407,4,1,2,2,2
8447,1407,5,1,1,1,1
8448,1408,0,0,3,3,6
8449,1408,1,0,3,3,5
8450,1408,2,0,3,3,4
8451,1408,3,1,2,3,3
8452,1408,4,1,2,2,2
8453,1408,5,1,1,1,1
8454,1409,0,0,3,3,6
8455,1409,1,0,3,3,5
8456,1409,2,1,3,3,4
8457,1409,3,1,2,2,3
8458,1409,4,1,2,2,2
8459,1409,5,1,1,1,1
8460,1410,0,0,3,3,6
8461,1410,1,0,3,3,5
8462,1410,2,0,1,3,4
8463,1410,3,1,2,2,3
8464,1410,4,1,1,2,2
8465,1410,5,1,1,1,1
8466,1411,0,0,3,3,6
8467,1411,1,0,3,3,5
8468,1411,2,1,3,3,4
8469,1411,3,1,2,3,3
8470,1411,4,1,2,2,2
8471,1411,5,1,1,1,1
8472,1412,0,0,3,3,6
8473,1412,1,0,3,3,5
8474,1412,2,1,3,3,4
8475,1412,3,1,2,3,3
8476,1412,4,1,2,2,2
8477,1412,5,1,1,1,1
8478,1413,0,0,3,3,6
8479,1413,1,0,3,3,5
8480,1413,2,0,4,2,4
8481,1413,3,1,2,2,3
8482,1413,4,1,1,1,2
8483,1413,5,1,1,1,1
8484,1414,0,0,3,3,6
8485,1414,1,0,3,3,5
8486,1414,2,0,1,3,4
8487,1414,3,0,2,2,3
8488,1414,4,1,1,2,2
8489,1414,5,1,1,1,1
8490,1415,0,0,3,3,6
8491,1415,1,0,3,3,5
8492,1415,2,0,1,3,4
8493,1415,3,1,2,2,3
8494,1415,4,1,1,2,2
8495,1415,5,1,1,1,1
8496,1416,0,0,3,3,6
8497,1416,1,0,3,3,5
8498,1416,2,1,3,3,4
8499,1416,3,1,2,3,3
8500,1416,4,1,2,2,2
8501,1416,5,1,1,1,1
8502,1417,0,0,3,3,6
8503,1417,1,0,3,3,5
8504,1417,2,0,4,2,4
8505,1417,3,0,2,2,3
8506,1417,4,1,1,1,2
8507,1417,5,1,1,1,1
8508,1418,0,0,3,3,6
8509,1418,1,0,3,3,5
8510,1418,2,0,4,2,4
8511,1418,3,0,2,2,3
8512,1418,4,1,1,2,2
8513,1418,5,1,1,1,1
8514,1419,0,0,3,3,6
8515,1419,1,0,3,3,5
8516,1419,2,1,3,3,4
8517,1419,3,1,2,2,3
8518,1419,4,1,1,1,2
8519,1419,5,1,1,1,1
8520,1420,0,0,3,3,6
8521,1420,1,0,3,3,5
8522,1420,2,0,1,3,4
8523,1420,3,1,2,2,3
8524,1420,4,1,1,2,2
8525,1420,5,1,1,1,1
8526,1421,0,0,3,3,6
8527,1421,1,0,3,3,5
8528,1421,2,0,1,3,4
8529,1421,3,0,2,2,3
8530,1421,4,1,1,1,2
8531,1421,5,1,1,1,1
8532,1422,0,0,3,3,6
8533,1422,1,0,3,3,5
8534,1422,2,0,1,3,4
8535,1422,3,0,2,2,3
8536,1422,4,1,1,1,2
8537,1422,5,1,1,1,1
8538,1423,0,0,3,3,6
8539,1423,1,0,3,3,5
8540,1423,2,0,3,3,4
8541,1423,3,1,2,3,3
8542,1423,4,1,2,2,2
8543,1423,5,1,1,1,1
8544,1424,0,0,3,3,6
8545,1424,1,0,3,3,5
8546,1424,2,0,4,2,4
8547,1424,3,0,2,2,3
8548,1424,4,1,1,1,2
8549,1424,5,1,1,1,1
8550,1425,0,0,3,3,6
8551,1425,1,0,3,3,5
8552,1425,2,0,1,3,4
8553,1425,3,0,2,2,3
8554,1425,4,1,2,2,2
8555,1425,5,1,1,1,1
8556,1426,0,0,3,3,6
8557,1426,1,0,3,3,5
8558,1426,2,0,1,3,4
8559,1426,3,0,0,3,3
8560,1426,4,1,1,2,2
8561,1426,5,1,1,1,1
8562,1427,0,0,3,3,6
8563,1427,1,0,3,3,5
8564,1427,2,1,3,3,4
8565,1427,3,1,2,3,3
8566,1427,4,1,2,2,2
8567,1427,5,1,1,1,1
8568,1428,0,0,3,3,6
8569,1428,1,0,3,3,5
8570,1428,2,0,3,3,4
8571,1428,3,1,2,3,3
8572,1428,4,1,2,2,2
8573,1428,5,1,1,1,1
8574,1429,0,0,3,3,6
8575,1429,1,0,3,3,5
8576,1429,2,1,3,3,4
8577,1429,3,1,2,3,3
8578,1429,4,1,2,2,2
8579,1429,5,1,1,1,1
8580,1430,0,0,3,3,6
8581,1430,1,0,3,3,5
8582,1430,2,0,1,3,4
8583,1430,3,0,0,3,3
8584,1430,4,1,1,2,2
8585,1430,5,1,1,1,1
8586,1431,0,0,3,3,6
8587,1431,1,0,3,3,5
8588,1431,2,1,3,3,4
8589,1431,3,1,2,3,3
8590,1431,4,1,1,2,2
8591,1431,5,1,1,1,1
8592,1432,0,0,3,3,6
8593,1432,1,0,3,3,5
8594,1432,2,0,1,3,4
8595,1432,3,1,2,2,3
8596,1432,4,1,1,1,2
8597,1432,5,1,1,1,1
8598,1433,0,0,3,3,6
8599,1433,1,0,3,3,5
8600,1433,2,0,1,3,4
8601,1433,3,1,2,2,3
8602,1433,4,1,2,2,2
8603,1433,5,1,1,1,1
8604,1434,0,0,3,3,6
8605,1434,1,0,3,3,5
8606,1434,2,0,1,3,4
8607,1434,3,0,0,3,3
8608,1434,4,1,1,2,2
8609,1434,5,1,1,1,1
8610,1435,0,0,3,3,6
8611,1435,1,0,3,3,5
8612,1435,2,0,3,3,4
8613,1435,3,1,2,3,3
8614,1435,4,1,1,2,2
8615,1435,5,1,1,1,1
8616,1436,0,0,3,3,6
8617,1436,1,0,3,3,5
8618,1436,2,0,3,3,4
8619,1436,3,0,2,2,3
8620,1436,4,1,1,2,2
8621,1436,5,1,1,1,1
8622,1437,0,0,3,3,6
8623,1437,1,0,3,3,5
8624,1437,2,0,1,3,4
8625,1437,3,1,2,2,3
8626,1437,4,1,1,1,2
8627,1437,5,1,1,1,1
8628,1438,0,0,3,3,6
8629,1438,1,0,3,3,5
8630,1438,2,1,3,3,4
8631,1438,3,1,2,2,3
8632,1438,4,1,1,2,2
8633,1438,5,1,1,1,1
8634,1439,0,0,3,3,6
8635,1439,1,0,3,3,5
8636,1439,2,1,3,3,4
8637,1439,3,1,2,3,3
8638,1439,4,1,1,2,2
8639,1439,5,1,1,1,1
8640,1440,0,0,3,3,6
8641,1440,1,0,3,3,5
8642,1440,2,0,4,2,4
8643,1440,3,0,2,2,3
8644,1440,4,1,1,1,2
8645,1440,5,1,1,1,1
8646,1441,0,0,3,3,6
8647,1441,1,0,3,3,5
8648,1441,2,1,3,3,4
8649,1441,3,1,2,2,3
8650,1441,4,1,2,2,2
8651,1441,5,1,1,1,1
8652,1442,0,0,3,3,6
8653,1442,1,0,3,3,5
8654,1442,2,1,3,3,4
8655,1442,3,1,2,3,3
8656,1442,4,1,2,2,2
8657,1442,5,1,1,1,1
8658,1443,0,0,3,3,6
8659,1443,1,0,3,3,5
8660,1443,2,0,3,3,4
8661,1443,3,1,2,3,3
8662,1443,4,1,2,2,2
8663,1443,5,1,1,1,1
8664,1444,0,0,3,3,6
8665,1444,1,0,3,3,5
8666,1444,2,0,4,2,4
8667,1444,3,0,2,2,3
8668,1444,4,1,2,2,2
8669,1444,5,1,1,1,1
8670,1445,0,0,3,3,6
8671,1445,1,0,3,3,5
8672,1445,2,0,1,3,4
8673,1445,3,0,0,3,3
8674,1445,4,1,1,2,2
8675,1445,5,1,1,1,1
8676,1446,0,0,3,3,6
8677,1446,1,0,3,3,5
8678,1446,2,1,3,3,4
8679,1446,3,1,2,3,3
8680,1446,4,1,2,2,2
8681,1446,5,1,1,1,1
8682,1447,0,0,3,3,6
8683,1447,1,0,3,3,5
8684,1447,2,0,3,3,4
8685,1447,3,1,2,3,3
8686,1447,4,1,1,2,2
8687,1447,5,1,1,1,1
8688,1448,0,0,3,3,6
8689,1448,1,0,3,3,5
8690,1448,2,0,3,3,4
8691,1448,3,1,2,3,3
8692,1448,4,1,2,2,2
8693,1448,5,1,1,1,1
8694,1449,0,0,3,3,6
8695,1449,1,0,3,3,5
8696,1449,2,0,1,3,4
8697,1449,3,0,0,3,3
8698,1449,4,1,1,2,2
8699,1449,5,1,1,1,1
8700,1450,0,0,3,3,6
8701,1450,1,0,3,3,5
8702,1450,2,1,3,3,4
8703,1450,3,1,2,2,3
8704,1450,4,1,1,1,2
8705,1450,5,1,1,1,1
8706,1451,0,0,3,3,6
8707,1451,1,0,3,3,5
8708,1451,2,0,1,3,4
8709,1451,3,1,2,3,3
8710,1451,4,1,2,2,2
8711,1451,5,1,1,1,1
8712,1452,0,0,3,3,6
8713,1452,1,0,3,3,5
8714,1452,2,0,1,3,4
8715,1452,3,0,2,2,3
8716,1452,4,1,1,1,2
8717,1452,5,1,1,1,1
8718,1453,0,0,3,3,6
8719,1453,1,0,3,3,5
8720,1453,2,0,1,3,4
8721,1453,3,0,0,3,3
8722,1453,4,1,1,2,2
8723,1453,5,1,1,1,1
8724,1454,0,0,3,3,6
8725,1454,1,0,3,3,5
8726,1454,2,0,3,3,4
8727,1454,3,1,2,3,3
8728,1454,4,1,2,2,2
8729,1454,5,1,1,1,1
8730,1455,0,0,3,3,6
8731,1455,1,0,3,3,5
8732,1455,2,0,1,3,4
8733,1455,3,0,0,3,3
8734,1455,4,1,1,2,2
8735,1455,5,1,1,1,1
8736,1456,0,0,3,3,6
8737,1456,1,0,3,3,5
8738,1456,2,0,1,3,4
8739,1456,3,1,2,3,3
8740,1456,4,1,2,2,2
8741,1456,5,1,1,1,1
8742,1457,0,0,3,3,6
8743,1457,1,0,3,3,5
8744,1457,2,0,1,3,4
8745,1457,3,1,2,2,3
8746,1457,4,1,2,2,2
8747,1457,5,1,1,1,1
8748,1458,0,0,3,3,6
8749,1458,1,0,3,3,5
8750,1458,2,0,1,3,4
8751,1458,3,1,2,3,3
8752,1458,4,1,2,2,2
8753,1458,5,1,1,1,1
8754,1459,0,0,3,3,6
8755,1459,1,0,3,3,5
8756,1459,2,1,3,3,4
8757,1459,3,1,2,3,3
8758,1459,4,1,2,2,2
8759,1459,5,1,1,1,1
8760,1460,0,0,3,3,6
8761,1460,1,0,3,3,5
8762,1460,2,0,3,3,4
8763,1460,3,1,2,3,3
8764,1460,4,1,2,2,2
8765,1460,5,1,1,1,1
8766,1461,0,0,3,3,6
8767,1461,1,0,3,3,5
8768,1461,2,0,3,3,4
8769,1461,3,1,2,3,3
8770,1461,4,1,2,2,2
8771,1461,5,1,1,1,1
8772,1462,0,0,3,3,6
8773,1462,1,0,3,3,5
8774,1462,2,1,3,3,4
8775,1462,3,1,2,3,3
8776,1462,4,1,2,2,2
8777,1462,5,1,1,1,1
8778,1463,0,0,3,3,6
8779,1463,1,0,3,3,5
8780,1463,2,0,1,3,4
8781,1463,3,1,2,2,3
8782,1463,4,1,1,1,2
8783,1463,5,1,1,1,1
8784,1464,0,0,3,3,6
8785,1464,1,0,3,3,5
8786,1464,2,0,1,3,4
8787,1464,3,1,2,3,3
8788,1464,4,1,1,2,2
8789,1464,5,1,1,1,1
8790,1465,0,0,3,3,6
8791,1465,1,0,3,3,5
8792,1465,2,0,3,3,4
8793,1465,3,1,2,3,3
8794,1465,4,1,2,2,2
8795,1465,5,1,1,1,1
8796,1466,0,0,3,3,6
8797,1466,1,0,3,3,5
8798,1466,2,0,4,2,4
8799,1466,3,1,2,2,3
8800,1466,4,1,1,2,2
8801,1466,5,1,1,1,1
8802,1467,0,0,3,3,6
8803,1467,1,0,3,3,5
8804,1467,2,0,3,3,4
8805,1467,3,0,2,2,3
8806,1467,4,1,2,2,2
8807,1467,5,1,1,1,1
8808,1468,0,0,3,3,6
8809,1468,1,0,3,3,5
8810,1468,2,0,1,3,4
8811,1468,3,0,0,3,3
8812,1468,4,1,1,2,2
8813,1468,5,1,1,1,1
8814,1469,0,0,3,3,6
8815,1469,1,0,3,3,5
8816,1469,2,0,3,3,4
8817,1469,3,0,2,2,3
8818,1469,4,1,1,1,2
8819,1469,5,1,1,1,1
8820,1470,0,0,3,3,6
8821,1470,1,0,3,3,5
8822,1470,2,1,3,3,4
8823,1470,3,1,2,3,3
8824,1470,4,1,2,2,2
8825,1470,5,1,1,1,1
8826,1471,0,0,3,3,6
8827,1471,1,0,3,3,5
8828,1471,2,0,3,3,4
8829,1471,3,0,2,2,3
8830,1471,4,1,1,1,2
8831,1471,5,1,1,1,1
8832,1472,0,0,3,3,6
8833,1472,1,0,3,3,5
8834,1472,2,0,1,3,4
8835,1472,3,1,2,3,3
8836,1472,4,1,1,2,2
8837,1472,5,1,1,1,1
8838,1473,0,0,3,3,6
8839,1473,1,0,3,3,5
8840,1473,2,0,1,3,4
8841,1473,3,0,2,2,3
8842,1473,4,1,2,2,2
8843,1473,5,1,1,1,1
8844,1474,0,0,3,3,6
8845,1474,1,0,3,3,5
8846,1474,2,0,1,3,4
8847,1474,3,1,2,2,3
8848,1474,4,1,1,1,2
8849,1474,5,1,1,1,1
8850,1475,0,0,3,3,6
8851,1475,1,0,3,3,5
8852,1475,2,1,3,3,4
8853,1475,3,1,2,3,3
8854,1475,4,1,2,2,2
8855,1475,5,1,1,1,1
8856,1476,0,0,3,3,6
8857,1476,1,0,3,3,5
8858,1476,2,1,3,3,4
8859,1476,3,1,2,3,3
8860,1476,4,1,2,2,2
8861,1476,5,1,1,1,1
8862,1477,0,0,3,3,6
8863,1477,1,0,3,3,5
8864,1477,2,0,1,3,4
8865,1477,3,1,2,2,3
8866,1477,4,1,2,2,2
8867,1477,5,1,1,1,1
8868,1478,0,0,3,3,6
8869,1478,1,0,3,3,5
8870,1478,2,0,1,3,4
8871,1478,3,0,2,2,3
8872,1478,4,1,1,2,2
8873,1478,5,1,1,1,1
8874,1479,0,0,3,3,6
8875,1479,1,0,3,3,5
8876,1479,2,0,1,3,4
8877,1479,3,1,2,3,3
8878,1479,4,1,2,2,2
8879,1479,5,1,1,1,1
8880,1480,0,0,3,3,6
8881,1480,1,0,3,3,5
8882,1480,2,1,3,3,4
8883,1480,3,1,2,3,3
8884,1480,4,1,2,2,2
8885,1480,5,1,1,1,1
8886,1481,0,0,3,3,6
8887,1481,1,0,3,3,5
8888,1481,2,0,3,3,4
8889,1481,3,1,2,3,3
8890,1481,4,1,2,2,2
8891,1481,5,1,1,1,1
8892,1482,0,0,3,3,6
8893,1482,1,0,3,3,5
8894,1482,2,0,1,3,4
8895,1482,3,1,2,3,3
8896,1482,4,1,2,2,2
8897,1482,5,1,1,1,1
8898,1483,0,0,3,3,6
8899,1483,1,0,3,3,5
8900,1483,2,0,4,2,4
8901,1483,3,0,2,2,3
8902,1483,4,1,1,2,2
8903,1483,5,1,1,1,1
8904,1484,0,0,3,3,6
8905,1484,1,0,3,3,5
8906,1484,2,0,4,2,4
8907,1484,3,1,2,2,3
8908,1484,4,1,1,2,2
8909,1484,5,1,1,1,1
8910,1485,0,0,3,3,6
8911,1485,1,0,3,3,5
