,Run,Deletion,Rho0,Rho1,Rho2,Rho3
197,32,5,1,1,1,1
198,33,0,0,3,3,6
199,33,1,0,3,3,5
200,33,2,0,4,2,4
201,33,3,0,2,2,3
202,33,4,1,1,2,2
203,33,5,1,1,1,1
204,34,0,0,3,3,6
205,34,1,0,3,3,5
206,34,2,0,1,3,4
207,34,3,1,2,2,3
208,34,4,1,1,1,2
209,34,5,1,1,1,1
210,35,0,0,3,3,6
211,35,1,0,3,3,5
212,35,2,0,3,3,4
213,35,3,1,2,3,3
214,35,4,1,2,2,2
215,35,5,1,1,1,1
216,36,0,0,3,3,6
217,36,1,0,3,3,5
218,36,2,0,1,3,4
219,36,3,1,2,2,3
220,36,4,1,2,2,2
221,36,5,1,1,1,1
222,37,0,0,3,3,6
223,37,1,0,3,3,5
224,37,2,0,1,3,4
225,37,3,0,0,3,3
226,37,4,1,1,2,2
227,37,5,1,1,1,1
228,38,0,0,3,3,6
229,38,1,0,3,3,5
230,38,2,0,1,3,4
231,38,3,1,2,2,3
232,38,4,1,1,2,2
233,38,5,1,1,1,1
234,39,0,0,3,3,6
235,39,1,0,3,3,5
236,39,2,1,3,3,4
237,39,3,1,2,2,3
238,39,4,1,1,2,2
239,39,5,1,1,1,1
240,40,0,0,3,3,6
241,40,1,0,3,3,5
242,40,2,0,3,3,4
243,40,3,0,2,2,3
244,40,4,1,1,2,2
245,40,5,1,1,1,1
246,41,0,0,3,3,6
247,41,1,0,3,3,5
248,41,2,0,3,3,4
249,41,3,1,2,3,3
250,41,4,1,2,2,2
251,41,5,1,1,1,1
252,42,0,0,3,3,6
253,42,1,0,3,3,5
254,42,2,0,3,3,4
255,42,3,1,2,3,3
256,42,4,1,1,2,2
257,42,5,1,1,1,1
258,43,0,0,3,3,6
259,43,1,0,3,3,5
260,43,2,0,3,3,4
261,43,3,1,2,3,3
262,43,4,1,2,2,2
263,43,5,1,1,1,1
264,44,0,0,3,3,6
265,44,1,0,3,3,5
266,44,2,0,3,3,4
267,44,3,0,2,2,3
268,44,4,1,1,2,2
269,44,5,1,1,1,1
270,45,0,0,3,3,6
271,45,1,0,3,3,5
272,45,2,0,3,3,4
273,45,3,0,2,2,3
274,45,4,1,1,2,2
275,45,5,1,1,1,1
276,46,0,0,3,3,6
277,46,1,0,3,3,5
278,46,2,0,3,3,4
279,46,3,0,2,2,3
280,46,4,1,2,2,2
281,46,5,1,1,1,1
282,47,0,0,3,3,6
283,47,1,0,3,3,5
284,47,2,0,3,3,4
285,47,3,0,2,2,3
286,47,4,1,1,2,2
287,47,5,1,1,1,1
288,48,0,0,3,3,6
289,48,1,0,3,3,5
290,48,2,0,3,3,4
291,48,3,1,2,3,3
292,48,4,1,1,2,2
293,48,5,1,1,1,1
294,49,0,0,3,3,6
295,49,1,0,3,3,5
296,49,2,0,3,3,4
297,49,3,0,2,2,3
298,49,4,1,1,2,2
299,49,5,1,1,1,1
300,50,0,0,3,3,6
301,50,1,0,3,3,5
302,50,2,0,1,3,4
303,50,3,0,0,3,3
304,50,4,1,1,2,2
305,50,5,1,1,1,1
306,51,0,0,3,3,6
307,51,1,0,3,3,5
308,51,2,1,3,3,4
309,51,3,1,2,3,3
310,51,4,1,2,2,2
311,51,5,1,1,1,1
312,52,0,0,3,3,6
313,52,1,0,3,3,5
314,52,2,0,3,3,4
315,52,3,0,2,2,3
316,52,4,1,1,1,2
317,52,5,1,1,1,1
318,53,0,0,3,3,6
319,53,1,0,3,3,5
320,53,2,0,3,3,4
321,53,3,0,2,2,3
322,53,4,1,2,2,2
323,53,5,1,1,1,1
324,54,0,0,3,3,6
325,54,1,0,3,3,5
326,54,2,0,3,3,4
327,54,3,1,2,3,3
328,54,4,1,1,2,2
329,54,5,1,1,1,1
330,55,0,0,3,3,6
331,55,1,0,3,3,5
332,55,2,0,1,3,4
333,55,3,0,2,2,3
334,55,4,1,1,2,2
335,55,5,1,1,1,1
336,56,0,0,3,3,6
337,56,1,0,3,3,5
338,56,2,0,4,2,4
339,56,3,0,2,2,3
340,56,4,1,2,2,2
341,56,5,1,1,1,1
342,57,0,0,3,3,6
343,57,1,0,3,3,5
344,57,2,1,3,3,4
345,57,3,1,2,2,3
346,57,4,1,1,1,2
347,57,5,1,1,1,1
348,58,0,0,3,3,6
349,58,1,0,3,3,5
350,58,2,0,1,3,4
351,58,3,0,2,2,3
352,58,4,1,2,2,2
353,58,5,1,1,1,1
354,59,0,0,3,3,6
355,59,1,0,3,3,5
356,59,2,1,3,3,4
357,59,3,1,2,2,3
358,59,4,1,1,1,2
359,59,5,1,1,1,1
360,60,0,0,3,3,6
361,60,1,0,3,3,5
362,60,2,0,1,3,4
363,60,3,0,0,3,3
364,60,4,1,1,2,2
365,60,5,1,1,1,1
366,61,0,0,3,3,6
367,61,1,0,3,3,5
368,61,2,0,1,3,4
369,61,3,1,2,2,3
370,61,4,1,1,1,2
371,61,5,1,1,1,1
372,62,0,0,3,3,6
373,62,1,0,3,3,5
374,62,2,1,3,3,4
375,62,3,1,2,3,3
376,62,4,1,2,2,2
377,62,5,1,1,1,1
378,63,0,0,3,3,6
379,63,1,0,3,3,5
380,63,2,0,4,2,4
381,63,3,0,2,2,3
382,63,4,1,1,1,2
383,63,5,1,1,1,1
384,64,0,0,3,3,6
385,64,1,0,3,3,5
386,64,2,0,4,2,4
387,64,3,1,2,2,3
388,64,4,1,1,2,2
389,64,5,1,1,1,1
390,65,0,0,3,3,6
391,65,1,0,3,3,5
392,65,2,0,3,3,4
393,65,3,1,2,3,3
394,65,4,1,2,2,2
395,65,5,1,1,1,1
396,66,0,0,3,3,6
397,66,1,0,3,3,5
398,66,2,0,4,2,4
399,66,3,1,2,2,3
400,66,4,1,1,1,2
401,66,5,1,1,1,1
402,67,0,0,3,3,6
403,67,1,0,3,3,5
404,67,2,0,4,2,4
405,67,3,0,2,2,3
406,67,4,1,1,2,2
407,67,5,1,1,1,1
408,68,0,0,3,3,6
409,68,1,0,3,3,5
410,68,2,0,3,3,4
411,68,3,1,2,3,3
412,68,4,1,2,2,2
413,68,5,1,1,1,1
414,69,0,0,3,3,6
415,69,1,0,3,3,5
416,69,2,0,4,2,4
417,69,3,1,2,2,3
418,69,4,1,2,2,2
419,69,5,1,1,1,1
420,70,0,0,3,3,6
421,70,1,0,3,3,5
422,70,2,0,4,2,4
423,70,3,1,2,2,3
424,70,4,1,2,2,2
425,70,5,1,1,1,1
426,71,0,0,3,3,6
427,71,1,0,3,3,5
428,71,2,0,4,2,4
429,71,3,1,2,2,3
430,71,4,1,1,1,2
431,71,5,1,1,1,1
432,72,0,0,3,3,6
433,72,1,0,3,3,5
